timestamp,instrument,bid,ask,mid,volume,spread_bps
2024-01-15T09:13:00,EUR/USD,1.08530,1.08540,1.08535,950000,9.2
2024-01-15T09:14:00,EUR/USD,1.08528,1.08538,1.08533,820000,9.2
2024-01-15T09:15:00,EUR/USD,1.08530,1.08540,1.08535,780000,9.2
2024-01-15T09:16:00,EUR/USD,1.08522,1.08532,1.08527,1150000,9.2
2024-01-15T09:17:00,EUR/USD,1.08515,1.08525,1.08520,920000,9.2
2024-01-15T09:18:00,EUR/USD,1.08508,1.08518,1.08513,1080000,9.2
2024-01-15T09:19:00,EUR/USD,1.08505,1.08515,1.08510,860000,9.2
2024-01-15T09:20:00,EUR/USD,1.08500,1.08510,1.08505,790000,9.2
2024-01-15T09:21:00,EUR/USD,1.08495,1.08505,1.08500,710000,9.2
2024-01-15T09:22:00,EUR/USD,1.08472,1.08494,1.08483,2480000,20.4
2024-01-15T09:23:00,EUR/USD,1.08455,1.08473,1.08464,3120000,16.7
2024-01-15T09:24:00,EUR/USD,1.08448,1.08464,1.08456,2010000,14.8
2024-01-15T09:25:00,EUR/USD,1.08442,1.08456,1.08449,1750000,12.9
2024-01-15T09:26:00,EUR/USD,1.08440,1.08452,1.08446,1420000,11.1
2024-01-15T09:08:00,GBP/USD,1.27195,1.27215,1.27205,620000,15.7
2024-01-15T09:11:00,GBP/USD,1.27200,1.27220,1.27210,540000,15.7
2024-01-15T09:17:00,GBP/USD,1.27180,1.27200,1.27190,710000,15.7
2024-01-15T09:24:00,GBP/USD,1.27165,1.27185,1.27175,480000,15.7
2024-01-15T09:30:00,GBP/USD,1.27155,1.27177,1.27166,890000,17.3
